train/global_step,fragrant-sea-49 - train/reward
10,0.06763294078409672
20,0.6129404842853546
30,0.693666684627533
40,0.7351666629314423
50,0.7700000047683716
60,0.6943750083446503
70,0.6587916672229767
80,0.7385833382606506
90,0.7070833504199981
100,0.7476666808128357
110,0.7255416691303254
120,0.7401250123977661
130,0.7287916839122772
140,0.7588749885559082
150,0.7204583525657654
160,0.7324999958276749
170,0.7504166603088379
180,0.7475000083446502
190,0.7445000112056732
200,0.7425833463668823
210,0.7648750066757202
220,0.7699166774749756
230,0.7617083430290222
240,0.7399166822433472
250,0.7410833358764648
260,0.7692499995231629
270,0.737625002861023
280,0.7387916684150696
290,0.7457083344459534
300,0.770166665315628
310,0.7579583466053009
320,0.7289583384990692
330,0.7533750116825104
340,0.7744583368301392
350,0.7600000143051148
360,0.7453750193119049
370,0.7741250097751617
380,0.7720833539962768
390,0.7682916700839997
400,0.7632916748523713
410,0.7676250040531158
420,0.7523333340883255
430,0.7481666684150696
440,0.7805416822433472
450,0.7207083433866501
460,0.7820416688919067
470,0.740750002861023
480,0.745083349943161
490,0.7443333446979523
500,0.7693750202655792
510,0.7768750071525574
520,0.7534791767597199
530,0.7679166674613953
540,0.7731250047683715
550,0.7859166741371155
560,0.7534583508968353
570,0.7774583399295807
580,0.773333340883255
590,0.7585833370685577
600,0.7480416774749756
610,0.7509583473205567
620,0.7177500128746033
630,0.771791672706604
640,0.7662500143051147
650,0.7768750071525574
660,0.774583351612091
670,0.7610000133514404
680,0.7719166696071624
690,0.7269583404064178
700,0.7325000047683716
710,0.7862499952316284
720,0.7868750035762787
730,0.7772916734218598
740,0.7729166805744171
750,0.7610833585262299
760,0.7370833456516266
770,0.7679583430290222
780,0.7664166808128356
790,0.7700000107288361
800,0.7520000040531158
810,0.7380000054836273
820,0.7928333342075348
830,0.7604999959468841
840,0.7428333431482315
850,0.7683333337306977
860,0.7860833406448364
870,0.7503333508968353
880,0.7620833456516266
890,0.7801666617393493
900,0.7608333468437195
910,0.7603333413600921
920,0.7505000174045563
930,0.7426666676998138
940,0.7667083442211151
950,0.7658333420753479
960,0.7973750114440918
970,0.7641666829586029
980,0.7778750061988831
990,0.7710833370685577
1000,0.7810416758060456
1010,0.7533333361148834
1020,0.7901250123977661
1030,0.757666677236557
1040,0.7271666765213013
1050,0.771875011920929
1060,0.7793333351612091
1070,0.7960416734218597
1080,0.7350000202655792
1090,0.7650000095367432
1100,0.7733333468437195
1110,0.7432500183582306
1120,0.7785416781902313
1130,0.7930000007152558
1140,0.7593750119209289
1150,0.7876666724681854
1160,0.78575000166893
1170,0.7834583401679993
1180,0.7776666760444642
1190,0.7850000202655792
1200,0.7855833351612092
1210,0.7727083504199982
1220,0.7804166793823242
1230,0.7681666731834411
1240,0.792083340883255
1250,0.7746249973773957
1260,0.7253750026226043
1270,0.7968750119209289
1280,0.7853333413600921
1290,0.7792083382606506
1300,0.7691666781902313
1310,0.7648750126361847
1320,0.7716666758060455
1330,0.78104168176651
1340,0.7535416841506958
1350,0.7791250169277191
1360,0.7848333418369293
1370,0.7594583392143249
1380,0.7614583492279052
1390,0.7784583389759063
1400,0.7633750140666962
1410,0.7837500154972077
1420,0.7671250104904175
1430,0.7677083432674408
1440,0.7693750143051148
1450,0.7377083420753479
1460,0.7696666777133941
1470,0.771625018119812
1480,0.7417916774749755
1490,0.7614166736602783
1500,0.7792916774749756
1510,0.7808750033378601
1520,0.7578333437442779
1530,0.778000009059906
1540,0.7666250109672547
1550,0.7592083394527436
1560,0.782458347082138
1570,0.7722083508968354
1580,0.7830000162124634
1590,0.7820000052452087
1600,0.7700000047683716
1610,0.7855000019073486
1620,0.7645000040531158
1630,0.773333340883255
1640,0.7337083458900452
1650,0.7881250083446503
1660,0.7933333456516266
1670,0.7745000123977661
1680,0.7827083468437195
1690,0.7395833492279053
1700,0.7734166741371155
1710,0.7738750159740448
1720,0.7841666758060455
1730,0.7681250214576721
1740,0.7843333423137665
1750,0.7168750107288361
1760,0.7735416769981385
1770,0.7703750133514404
1780,0.7538750052452088
1790,0.786000007390976
1800,0.7803750097751617
1810,0.7883333444595337
1820,0.7858333468437195
1830,0.7715833425521851
1840,0.7776666820049286
1850,0.7787500143051147
1860,0.7531250059604645
1870,0.7514583528041839
1880,0.7760000109672547
1890,0.751750010251999
1900,0.7558333516120911
1910,0.7833333432674408
1920,0.7622500121593475
1930,0.7665416777133942
1940,0.7881250143051147
1950,0.7515000104904175
1960,0.7965000033378601
1970,0.7950000107288361
1980,0.7585416853427887
1990,0.7489583373069764
2000,0.7410416841506958
2010,0.7787500083446502
2020,0.7055000185966491
2030,0.7766666889190674
2040,0.7743333518505097
2050,0.7754166841506958
2060,0.7532083332538605
2070,0.785833340883255
2080,0.7721250057220459
2090,0.7304166793823242
2100,0.7837500154972077
2110,0.7814583420753479
2120,0.7902083396911621
2130,0.7786666691303253
2140,0.7539166748523712
2150,0.7870833516120911
2160,0.7511666774749756
2170,0.7822500169277191
2180,0.7232083439826965
2190,0.7795833468437194
2200,0.7802500009536744
2210,0.7762500047683716
2220,0.7900000154972077
2230,0.7620833337306976
2240,0.759208345413208
2250,0.7762499988079071
2260,0.7712500035762787
2270,0.7821250140666962
2280,0.7885000109672546
2290,0.7369583427906037
2300,0.7887083411216735
2310,0.782708340883255
2320,0.7658333420753479
2330,0.7540000140666961
2340,0.7900000095367432
2350,0.7883333444595337
2360,0.782500022649765
2370,0.7807500123977661
2380,0.7656250119209289
2390,0.743833351135254
2400,0.7587083458900452
2410,0.7499583423137665
2420,0.7793750107288361
2430,0.7255416750907898
2440,0.7432500094175338
2450,0.7840000033378601
2460,0.7816666722297668
2470,0.7437500089406968
2480,0.77516667842865
2490,0.7708333432674408
2500,0.7782916784286499
2510,0.7377083539962769
2520,0.7663750052452087
2530,0.7870833396911621
2540,0.7651250064373016
2550,0.7833750128746033
2560,0.7462500154972076
2570,0.7722083449363708
2580,0.7493333458900452
2590,0.7675000131130219
2600,0.762458348274231
2610,0.7750000059604645
2620,0.7464583456516266
2630,0.762500011920929
2640,0.7647023916244506
2650,0.7643750190734864
2660,0.7400000095367432
2670,0.7645000040531158
2680,0.781166672706604
2690,0.7716666758060455
2700,0.7737083494663238
2710,0.7800000131130218
2720,0.7705000162124633
2730,0.7933333396911622
2740,0.7683333456516266
2750,0.7920000076293945
2760,0.7760000050067901
2770,0.7700000166893005
2780,0.7780833423137665
2790,0.757666677236557
2800,0.7770833432674408
2810,0.7950000107288361
2820,0.7865000069141388
2830,0.782875019311905
2840,0.7828333437442779
2850,0.7606666684150696
2860,0.7854166805744172
2870,0.7500000059604645
2880,0.7835416793823242
2890,0.7968750119209289
2900,0.7667083442211151
2910,0.7850000083446502
2920,0.760958343744278
2930,0.7866666793823243
2940,0.7901547729969025
2950,0.7536666810512542
2960,0.7845000088214874
2970,0.7604166865348816
2980,0.7972916722297668
2990,0.7991666734218598
3000,0.7817499995231628
3010,0.7811666786670685
3020,0.7458333373069763
3030,0.7605000138282776
