train/global_step,MiniLM-L6-based - eval/negative_avg_cosine,deberta-based - eval/negative_avg_cosine
100,0.715629518032074,0.822088897228241
200,0.751469075679779,0.4788704812526703
300,0.7724648118019104,0.3482329845428467
400,0.5818849205970764,0.2679077982902527
500,0.4665625989437103,0.1780049204826355
600,0.38493993878364563,0.16318710148334503
700,0.3577043116092682,0.1410064697265625
800,0.35035210847854614,0.1679627150297165
900,0.2924579381942749,0.10377442836761475
1000,0.3162650167942047,0.09428215771913528
1100,0.2647305428981781,0.10008374601602554
1200,0.2769598364830017,0.11965516954660416
1300,0.22091609239578247,0.0908551812171936
1400,0.22615130245685577,0.0981830582022667
1500,0.2443213164806366,0.08388669043779373
1600,0.22928903996944427,0.1187647357583046
1700,0.16306504607200623,0.07837937772274017
1800,0.1799258589744568,0.09417393803596497
1900,0.21615426242351532,0.09415952861309052
2000,0.24481970071792603,0.06851010024547577
2100,0.20150387287139893,0.06866475939750671
2200,0.20579025149345398,0.08066680282354355
2300,0.11802192777395248,0.0659879595041275
2400,0.14072798192501068,0.0879444107413292
2500,0.17372898757457733,0.07454654574394226
2600,0.16256019473075867,0.05590663105249405
2700,0.14276927709579468,0.07784861326217651
2800,0.13539506494998932,0.05987513065338135
2900,0.10870613157749176,0.047103580087423325
3000,0.10539350658655167,0.07413259148597717
3100,0.12696537375450134,0.06584955751895905
3200,0.09117192775011063,0.0682048574090004
3300,0.1312367022037506,0.06684340536594391
3400,0.10017196089029312,0.07778717577457428
3500,0.1149166002869606,0.07877754420042038
3600,0.12686124444007874,0.06812915205955505
3700,0.08989104628562927,0.052596140652894974
3800,0.10733690857887268,0.05930869281291962
3900,0.09561831504106522,0.08047563582658768
4000,0.09156198054552078,0.04667254164814949
4100,0.08560275286436081,0.05337603762745857
4200,0.09600208699703217,0.05950964242219925
4300,0.08830881863832474,0.06739021092653275
4400,0.08728878200054169,0.06267209351062775
4500,0.08639773726463318,0.05824519693851471
4600,0.08126147836446762,0.05511108413338661
4700,0.0837642177939415,0.05623173713684082
4800,0.07291316241025925,0.06357832252979279
4900,0.09236989915370941,0.04996389523148537
5000,0.0848437026143074,0.06311502307653427
5100,0.0730891227722168,0.04635094851255417
5200,0.07126157730817795,0.05203457921743393
5300,0.06705157458782196,0.053479477763175964
5400,0.07649271190166473,0.04862130060791969
5500,0.07522457838058472,0.05307905748486519
5600,0.07698690891265869,0.06230159103870392
5700,0.08088172227144241,0.04935837164521217
5800,0.07817089557647705,0.05432208999991417
5900,0.07964911311864853,0.05681271851062775
6000,0.08339137583971024,0.045672398060560226
6100,0.08345870673656464,0.05595240741968155
6200,0.0829310342669487,0.051038023084402084
6300,0.07823897898197174,0.05485262721776962
6400,0.07607977092266083,0.055702753365039825
6500,0.07485006004571915,0.04337839409708977
6600,0.07663165777921677,0.04349226504564285
6700,0.07251610606908798,0.05121902748942375
6800,0.061548855155706406,0.04743976145982742
6900,0.07487396895885468,0.04387270286679268
7000,0.07974006235599518,0.05041851848363876
7100,0.07217041403055191,0.041455257683992386
7200,0.07494553923606873,0.04542786628007889
7300,0.06532832235097885,0.0446634441614151
7400,0.07297884672880173,0.04298534244298935
7500,0.06817787885665894,0.04444301500916481
7600,0.06454964727163315,0.04744895547628403
7700,0.06281682103872299,0.046379636973142624
7800,0.05891529470682144,0.04777698963880539
7900,0.06994335353374481,0.040972013026475906
8000,0.06703684478998184,0.03882753476500511
8100,0.0691085010766983,0.045424263924360275
8200,0.06627700477838516,0.04249752685427666
8300,0.06798633933067322,0.040557436645030975
8400,0.06017718091607094,0.04526018723845482
8500,0.07103067636489868,0.038922298699617386
8600,0.06469405442476273,0.04495285078883171
8700,0.06861795485019684,0.042636461555957794
8800,0.06505000591278076,0.04575248807668686
8900,0.06361362338066101,0.04515714570879936
9000,0.06334350258111954,0.04148862883448601
9100,0.061460528522729874,0.039481282234191895
9200,0.06240491569042206,0.03947323560714722
9300,0.06522436439990997,0.04415611922740936
9400,0.0674334391951561,0.044171325862407684
9500,0.0685335025191307,0.04631657898426056
9600,0.06276878714561462,0.0389954037964344
9700,0.06279842555522919,0.03979961574077606
9800,0.05619758367538452,0.03952529653906822
9900,0.06187550723552704,0.040948785841464996
10000,0.059445079416036606,0.034097086638212204
10100,0.05738316848874092,0.0378202460706234
10200,0.06016288325190544,0.04345007240772247
10300,0.05664472654461861,0.04061318188905716
10400,0.06095121055841446,0.039792321622371674
10500,0.059811197221279144,0.03295951336622238
10600,0.0629577785730362,0.0361962653696537
10700,0.06292113661766052,0.03674694895744324
10800,0.060035333037376404,0.03591698408126831
10900,0.06584105640649796,0.03778248652815819
11000,0.06454773247241974,0.03704608976840973
11100,0.06247948110103607,0.03854814171791077
11200,0.06085516884922981,0.03746397793292999
11300,0.062241557985544205,0.037382543087005615
11400,0.0616467222571373,0.03812607005238533
11500,0.060543231666088104,0.036117956042289734
11600,0.060992296785116196,0.0346887931227684
11700,0.06088166683912277,0.03453124314546585
11800,0.05981725826859474,0.035731639713048935
11900,0.06002213433384895,0.03540356084704399
12000,0.060685694217681885,0.03637033700942993
12100,0.060791146010160446,0.03571087867021561
12200,0.06070438772439957,0.036047957837581635
12300,0.06101033464074135,0.03620258346199989
